Deadlands - Callahan's Boot - Town Base - Public - X: 0.5476859 Y: 0.4989061,2026.07.06-18.50.13
“Dusk” ce.III,0
Booker Storm Rifle Model 838,0
Aalto Storm Rifle 24,0
7.92mm,0
Catara mo.II,0
KRN886-127 Gast Machine Gun,0
Malone MK.2,0
Bomastone Grenade,0
A3 Harpa Fragmentation Grenade,0
Ferro 879,0
Cascadier 873,0
Ahti Model 2,5
8mm,0
Cometa T2-9,0
The Hangman 757,0
.44 Mag,0
Catena rt.IV Auto-Rifle,0
Sampo Auto-Rifle 77,0
Argenti r.II Rifle,0
Volta r.I Repeater,0
Fuscina pi.I,0
Blakerow 871,0
KRR2-790 Omen,0
Clancy Cinder M3,0
No.2B Hawthorne,0
No.2 Loughcaster,0
KRR3-792 Auger,0
Clancy-Raca M4,0
7.62mm,0
KRF1-750 Dragonfly,0
No.4 The Pillory Scattergun,0
Buckshot,0
“The Pitch Gun” mc.V,0
“Lionclaw” mc.VIII,0
No.1 “The Liar” Submachinegun,0
Fiddler Submachine Gun Model 868,15
9mm,5
228 Satterley Heavy Storm Rifle,0
Booker Greyhound Model 910,0
“Dawn” Ve.II,0
“Quickhatch” Rt.I,0
“Typhon” ra.XII,0
Neville Anti-Tank Rifle,0
14.5mm,0
Venom c.II 35,0
Bane 45,0
Carnyx Anti-Tank Rocket Launcher,0
AP/RPG,0
Mounted Bonesaw MK.3,0
Bonesaw MK.3,0
ARC/RPG,0
“Molten Wind” v.II Flame Torch,0
Willow’s Bane Model 845,0
KLG901-2 Lunaire F,0
Mounted Fissura gd.I,0
Tremola Grenade GPb-1,0
PT-815 Smoke Grenade,0
Green Ash Grenade,0
Lamentum mm.IV,0
Malone Ratcatcher MK.1,0
12.7mm,0
Daucus isg.III,0
30mm,0
Cremari Mortar,0
Incendiary Mortar Shell,0
Flare Mortar Shell,0
Shrapnel Mortar Shell,0
Mortar Shell,0
BF5 White Ash Flask Grenade,0
B2 Varsi Anti-Tank Grenade,0
Ignifist 30,0
Mammon 91-b,0
Anti-Tank Sticky Bomb,0
Cutler Foebreaker,0
Cutler Launcher 4,0
RPG,0
950-70b Anti-Aircraft Shell,0
20mm,0
Tenta Torpedo,0
94.5mm,0
75mm,0
Mark II Raidbreaker,0
Shatter Missile,0
Model-7 “Evie”,0
912 Shrike Rounds,0
4C-Fire Rocket,0
Flame Ammo,0
150mm,0
3C-High Explosive Rocket,0
Absol Anti-Aircraft Rounds,0
120mm,0
300mm,0
Quillback Torpedo,0
250mm "Purity" Shell,0
250mm "Fury" Shell,0
E681-B Hullbreaker Mine,0
Moray Torpedo,0
Naval Buoy,0
68mm,0
40mm,0
Air Raid Siren,0
Legion Vexillum,0
War Ensign,0
Barbed Wire,0
Buckhorn CCQ-18,0
Binoculars,0
Hydra’s Whisper,0
Havoc Charge,0
“Molten Wind” v.II Ammo,0
Willow's Bane Ammo,0
Crow’s Foot Mine,0
Listening Kit,0
Falias Raiding Club,0
Metal Beam,0
Paratrooper’s Ruck,0
Radio Backpack,0
Sandbag,0
Havoc Charge Detonator,0
Alligator Charge,0
Shovel,0
Sledge Hammer,0
Eleos Infantry Dagger,0
Abisme AT-99 Mine,0
Tripod,0
E680-S Rudder Lock,0
Wind Sock,0
Hammer,10
Wrench,0
Water Bucket,0
Water,0
Gas Mask,0
Gas Mask Filter,0
The Ospreay,0
Flight Mask,0
Radio,0
Bandages,0
First Aid Kit,3
Trauma Kit,3
Blood Plasma,4
Soldier Supplies,111
Concrete Materials,0
Diesel,5
Unstable Substances,0
Thermal Shielding,0
Processed Construction Materials,0
Steel Construction Materials,0
Assembly Materials I,0
Assembly Materials II,0
Assembly Materials III,0
Assembly Materials IV,0
Assembly Materials V,0
Rare Alloys,0
Heavy Oil,0
Enriched Oil,0
Oil,0
Petrol,0
Pipe,0
Aluminum,0
Aluminum Alloy,0
Basic Materials,2215
Coal,0
Components,0
Copper,0
Copper Alloy,0
Explosive Powder,0
Coke,0
Damaged Components,0
Construction Materials,0
Rare Materials,0
Gravel,0
Heavy Explosive Powder,0
Iron,0
Iron Alloy,0
Maintenance Supplies,0
Salvage,0
Rare Metal,0
Relic Materials,0
Sulfur,0
Refined Materials,0
Wreckage,0
Specialist’s Overcoat,0
Velian Flak Vest,0
Gunner’s Breastplate,0
Fabri Rucksack,0
Sapper Gear,0
Grenadier’s Baldric,0
Medic Fatigues,0
Physician’s Jacket,38
Remex Garb,0
Gentleman’s Peacoat,0
Officialis’ Attire,0
Officer’s Regalia,0
Auster’s Harness,0
Cloudrunner’s Vesture,0
Lodesman’s Lorica,0
Aviator’s Raiment,0
Legionary’s Oilcoat,0
Recon Camo,0
Outrider’s Mantle,0
Heavy Topcoat,0
Caoivish Parka,0
Legionary Fatigues,0
Infantry Battledress,7
Tankman’s Coveralls,0
Padded Boiler Suit,0
Colonial Aircraft Engine (Small),0
Warden Aircraft Engine (Small),0
Damaged Colonial Aircraft Engine (Small),0
Damaged Warden Aircraft Engine (Small),0
Colonial Aircraft Mechanical Parts (Small),0
Warden Aircraft Mechanical Parts (Small),0
Damaged Colonial Aircraft Mechanical Parts (Small),0
Damaged Warden Aircraft Mechanical Parts (Small),0
Colonial Aircraft Engine (Large),0
Warden Aircraft Engine (Large),0
Damaged Colonial Aircraft Engine (Large),0
Damaged Warden Aircraft Engine (Large),0
Colonial Aircraft Mechanical Parts (Large),0
Warden Aircraft Mechanical Parts (Large),0
Damaged Colonial Aircraft Mechanical Parts (Large),0
Damaged Warden Aircraft Mechanical Parts (Large),0

