
> stockpile-scanner@1.0.0 test
> node test.js

Shirt found: 116 1495 42 32
Stockpile type: Storage Depot 96
Stockpile name: RAM 96
SoldierSupplies-crated 100 96 933
MaintenanceSupplies-crated 51 96 383
Cloth-crated 225 96 411
ATRPGTW-crated 100 96 506
Radio-crated 80 96 636
HeavyArtilleryAmmo-crated 78 96 563
RifleAmmo-crated 74 96 421
GrenadeW-crated 72 96 849
ShotgunAmmo-crated 61 96 589
SMGAmmo-crated 42 96 461
WorkWrench-crated 38 96 342
ShotgunW-crated 34 96 268
GrenadeAdapter-crated 28 96 598
HEGrenade-crated 28 96 489
RpgW-crated 26 96 407
HeavyExplosive-crated 23 96 604
RpgAmmo-crated 20 96 421
Binoculars-crated 18 96 398
ATRPGHeavyW-crated 18 96 483
AssaultRifleHeavyW-crated 17 95 386
SMGHeavyW-crated 17 95 351
GasMask-crated 17 95 767
Explosive-crated 16 96 468
MiniTankAmmo-crated 16 96 394
MGW-crated 15 96 433
Bayonet-crated 14 94 462
SniperRifleW-crated 14 94 506
BloodPlasma-crated 13 96 392
Tripod-crated 13 96 426
Shovel-crated 12 96 351
Bandages-crated 12 96 486
MGAmmo-crated 9 96 426
ATGrenadeW-crated 9 96 528
MortarAmmoFL-crated 9 96 370
SnowUniformW-crated 9 96 691
ListeningKit-crated 7 96 854
FirstAidKit-crated 7 96 603
GasMaskFilter-crated 5 96 547
Wood-crated 5 96 441
TraumaKit-crated 5 96 397
SatchelChargeT-crated 4 96 2390
RifleW-crated 4 96 256
RevolverAmmo-crated 3 96 825
RifleAutomaticW-crated 3 96 258
RifleHeavyW-crated 1 96 361
SledgeHammer-crated 1 96 341
RifleLightW-crated 1 96 422
In06KItem 5 96 4584
FlatbedTruck 3 96 732
TruckResourceW 2 96 1009
AmbulanceW 2 96 401
FieldCannonW 2 96 219
ScoutVehicleUtilityW 1 96 679
ScoutVehicleOffensiveW 1 96 1134
ScoutVehicleMobilityC 1 96 1335
TruckMobilityW 1 96 2384
ArmoredCarMobilityW 1 96 2991
FieldATW-crated 10 96 706
SoldierSupplies-crated 9 96 4355
FieldMGW-crated 5 96 277
ArmoredCarTwinC-crated 4 96 4047
FieldCannonW-crated 3 96 447
LandingCraftOffensiveC-crated 2 96 3736
LiquidContainer 2 96 818
EmplacedHeavyArtilleryW-crated 2 96 797
EmplacedATW-crated 2 96 857
